id,text,room_ref,yandex_executed,yandex_understood_correctly,yandex_interpretation_score,notes
YB001,"В спальне совсем тускло, добавь света.",explicit,,,,
YB002,"Сделай в спальне посветлее, а то мрачновато.",explicit,,,,
YB003,"Верни свет в спальню, пожалуйста.",explicit,,,,
YB004,"В спальне хочется немного больше света.",explicit,,,,
YB005,"Подсвети спальню, там темновато.",explicit,,,,
YB006,"В спальне можно и поярче сделать.",explicit,,,,
YB007,"Разгони темноту в спальне.",explicit,,,,
YB008,"В спальне не хватает уюта, включи свет.",explicit,,,,
YB009,"Сделай в спальне мягкий теплый свет.",explicit,,,,
YB010,"Хочу в спальне более теплое освещение.",explicit,,,,
YB011,"В спальне сделай свет как перед сном.",explicit,,,,
YB012,"Подготовь спальню ко сну по свету.",explicit,,,,
YB013,"В спальне хочется ламповую атмосферу.",explicit,,,,
YB014,"Сделай в спальне уютный полумрак.",explicit,,,,
YB015,"В спальне можно приглушить свет.",explicit,,,,
YB016,"Притуши свет в спальне.",explicit,,,,
YB017,"В спальне слишком резко светит, убавь яркость.",explicit,,,,
YB018,"Сделай свет в спальне поспокойнее.",explicit,,,,
YB019,"В спальне выключайся уже, пора отдыхать.",explicit,,,,
YB020,"Погаси в спальне свет, пожалуйста.",explicit,,,,
YB021,"В спальне уже хватит света, убери его.",explicit,,,,
YB022,"Оставь спальню без света.",explicit,,,,
YB023,"В спальне сделай свет похолоднее.",explicit,,,,
YB024,"Освежи свет в спальне, пусть будет прохладнее.",explicit,,,,
YB025,"Сделай в спальне свет для чтения.",explicit,,,,
YB026,"Тут бы света добавить.",implicit,,,,
YB027,"Сделай здесь посветлее.",implicit,,,,
YB028,"Тут темновато, добавь света.",implicit,,,,
YB029,"Хочу здесь чуть больше света.",implicit,,,,
YB030,"Подсвети тут немного.",implicit,,,,
YB031,"Сделай тут свет помягче.",implicit,,,,
YB032,"Хочу здесь более теплый свет.",implicit,,,,
YB033,"Пусть тут будет уютнее по свету.",implicit,,,,
YB034,"Сделай тут атмосферу для сна.",implicit,,,,
YB035,"Подготовь здесь свет ко сну.",implicit,,,,
YB036,"Притуши здесь освещение.",implicit,,,,
YB037,"Слишком ярко, убавь тут свет.",implicit,,,,
YB038,"Сделай здесь поспокойнее по свету.",implicit,,,,
YB039,"Убери тут лишнюю яркость.",implicit,,,,
YB040,"Пусть здесь будет чуть темнее.",implicit,,,,
YB041,"Погаси здесь свет.",implicit,,,,
YB042,"Здесь уже можно без света.",implicit,,,,
YB043,"Оставь тут темноту.",implicit,,,,
YB044,"Выключай здесь освещение.",implicit,,,,
YB045,"Освежи тут свет, пусть будет прохладнее.",implicit,,,,
YB046,"Сделай здесь свет похолоднее.",implicit,,,,
YB047,"Дай здесь теплый мягкий свет.",implicit,,,,
YB048,"Хочу тут свет для чтения.",implicit,,,,
YB049,"Собери здесь уютный вечерний свет.",implicit,,,,
YB050,"Настрой здесь свет так, чтобы хотелось спать.",implicit,,,,
